resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,milliseconds,fastestLap,rank,statusId
317,33,2,2,16,9,0,67,5476012,67,8,1
318,33,7,5,10,10,0,67,5480977,49,6,1
319,33,3,3,15,11,0,67,5483988,66,10,1
320,33,1,1,1,12,0,67,5500792,65,11,1
321,33,22,11,17,13,0,66,-1,66,16,11
322,33,18,11,18,14,0,66,-1,66,17,11
323,33,6,3,14,15,0,66,-1,32,15,11
324,33,21,10,20,16,0,21,-1,20,19,6
325,33,5,1,3,17,0,16,-1,12,5,5
326,33,16,10,19,18,0,8,-1,6,18,27
327,33,10,7,8,19,0,6,-1,4,14,28
328,33,14,9,11,20,0,0,-1,-1,-1,4
329,34,1,1,1,1,1000,56,5517403,13,1,1
330,34,13,6,3,2,800,56,5532328,36,4,1
331,34,8,6,2,3,600,56,5533848,14,2,1
332,34,4,4,4,4,500,56,5535773,56,5,1
333,34,2,2,9,5,400,56,5546326,56,3,1
334,34,9,2,11,6,300,56,5550622,56,7,1
335,34,10,7,12,7,200,56,5559125,56,6,1
336,34,12,4,10,8,100,56,5574048,56,8,1
337,34,20,5,6,9,0,56,5581742,55,9,1
338,34,14,9,15,10,0,56,5592245,27,14,1
339,34,22,11,13,11,0,56,5602464,56,16,1
340,34,6,3,17,12,0,56,5608250,54,17,1
341,34,7,5,8,13,0,56,5608860,36,12,1
342,34,17,9,16,14,0,56,5609825,10,13,1
343,34,3,3,14,15,0,55,-1,38,10,11
344,34,18,11,18,16,0,55,-1,54,15,11
345,34,21,10,20,17,0,55,-1,54,18,11
346,34,5,1,5,18,0,49,-1,32,11,9
347,34,16,10,19,19,0,13,-1,13,19,5
348,34,15,7,7,20,0,2,-1,2,20,4
349,35,13,6,1,1,1000,71,5651435,36,1,1
350,35,4,4,6,2,800,71,5664733,39,8,1
351,35,8,6,3,3,600,71,5667670,59,3,1
352,35,20,5,7,4,500,71,5689446,25,7,1
353,35,1,1,4,5,400,71,5690342,31,4,1
354,35,10,7,10,6,300,71,5695803,32,2,1
355,35,5,1,5,7,200,71,5706509,36,6,1
356,35,15,7,2,8,100,71,5719868,40,5,1
357,35,17,9,12,9,0,71,5731101,40,14,1
358,35,2,2,8,10,0,70,-1,41,10,11
359,35,9,2,13,11,0,70,-1,61,9,11
360,35,3,3,18,12,0,70,-1,35,12,11
361,35,18,11,17,13,0,70,-1,59,11,11
362,35,7,5,9,14,0,70,-1,57,13,11
363,35,22,11,15,15,0,70,-1,35,16,11
364,35,16,10,20,16,0,69,-1,60,17,12
365,35,6,3,16,17,0,69,-1,50,18,12
366,35,21,10,19,18,0,69,-1,36,15,12
367,35,12,4,11,19,0,0,-1,-1,-1,3
368,35,14,9,14,20,0,0,-1,-1,-1,4
369,36,8,6,1,1,1000,58,5128770,41,1,1
370,36,4,1,2,2,800,58,5136012,20,2,1
371,36,1,1,4,3,600,58,5147365,20,3,1
372,36,2,2,3,4,500,58,5167533,37,6,1
373,36,21,4,6,5,400,58,5195239,18,7,1
374,36,13,6,22,6,300,58,5195575,28,8,1
375,36,3,3,12,7,200,57,-1,40,5,11
376,36,23,7,9,8,100,57,-1,42,12,11
377,36,15,7,8,9,0,57,-1,45,13,11
378,36,5,4,13,10,0,57,-1,44,10,11
379,36,22,11,16,11,0,57,-1,17,14,11
380,36,11,8,10,12,0,57,-1,20,18,11
381,36,17,9,7,13,0,57,-1,21,9,11
382,36,24,5,19,14,0,57,-1,44,15,11
383,36,18,11,14,15,0,57,-1,42,17,11
384,36,19,8,11,16,0,56,-1,41,19,12
385,36,16,12,20,17,0,56,-1,40,20,12
386,36,25,3,15,18,0,48,-1,24,16,4
387,36,14,9,18,19,0,48,-1,44,11,4
388,36,9,2,5,20,0,36,-1,19,4,6
389,36,26,5,17,21,0,28,-1,22,21,29
390,36,27,12,21,22,0,10,-1,9,22,3
391,37,4,1,2,1,1000,56,5534930,42,2,1
392,37,1,1,4,2,800,56,5552487,22,1,1
393,37,8,6,3,3,600,56,5553269,40,4,1
394,37,2,2,5,4,500,56,5568707,55,5,1
395,37,13,6,1,5,400,56,5571635,42,3,1
396,37,21,4,12,6,300,56,5600568,44,9,1
397,37,15,7,8,7,200,56,5605062,40,10,1
398,37,5,4,11,8,100,56,5606945,41,7,1
399,37,25,3,19,9,0,56,5624854,19,8,1
400,37,17,9,10,10,0,56,5628486,55,14,1
401,37,22,11,22,11,0,55,-1,32,15,11
402,37,18,11,15,12,0,55,-1,54,16,11
403,37,11,8,14,13,0,55,-1,37,13,11
404,37,26,5,17,14,0,55,-1,54,18,11
405,37,23,7,9,15,0,55,-1,52,19,11
406,37,19,8,18,16,0,55,-1,32,20,11
407,37,24,5,16,17,0,55,-1,21,12,11
408,37,9,2,7,18,0,55,-1,53,17,11
409,37,3,3,6,19,0,42,-1,18,6,9
410,37,14,9,13,20,0,36,-1,28,11,23
411,37,27,12,20,21,0,7,-1,5,21,5
412,37,16,12,21,22,0,0,-1,-1,-1,4
413,38,13,6,1,1,1000,57,5607515,42,1,1
414,38,1,1,2,2,800,57,5609875,18,2,1
415,38,8,6,3,3,600,57,5618354,39,3,1
416,38,2,2,5,4,500,57,5621346,38,5,1
417,38,4,1,4,5,400,57,5621941,46,4,1
418,38,9,2,6,6,300,57,5653044,46,6,1
419,38,15,7,9,7,200,57,5688886,40,7,1
420,38,21,4,7,8,100,57,5689216,51,8,1
421,38,5,4,12,9,0,57,5696926,27,10,1
422,38,3,3,10,10,0,57,5697431,51,11,1
423,38,25,3,11,11,0,56,-1,27,16,11
424,38,23,7,14,12,0,56,-1,37,15,11
425,38,22,11,15,13,0,56,-1,50,14,11
426,38,27,12,22,14,0,55,-1,40,20,12
427,38,16,12,20,15,0,53,-1,45,19,14
428,38,19,8,13,16,0,51,-1,27,17,5
429,38,17,9,8,17,0,41,-1,37,12,6
430,38,14,9,21,18,0,36,-1,34,9,30
431,38,11,8,17,19,0,34,-1,23,18,5
432,38,24,5,18,20,0,26,-1,23,13,9
433,38,18,11,16,21,0,0,-1,-1,-1,4
