constructorResultsId,raceId,constructorId,points
1158,129,7,0
1159,129,16,0
1160,129,21,0
1161,129,18,0
1162,129,19,0
1163,129,15,0
1164,130,1,1000
1165,130,6,600
1166,130,3,400
1167,130,4,300
1168,130,17,200
1169,130,21,100
1170,130,15,0
1171,130,19,0
1172,130,18,0
1173,130,7,0
1174,130,16,0
1175,131,6,1400
1176,131,1,900
1177,131,17,200
1178,131,4,100
1179,131,3,0
1180,131,16,0
1181,131,15,0
1182,131,18,0
1183,131,21,0
1184,131,7,0
1185,131,19,0
1186,132,6,1600
1187,132,1,400
1188,132,3,300
1189,132,4,200
1190,132,15,100
1191,132,16,0
1192,132,19,0
1193,132,21,0
1194,132,7,0
1195,132,18,0
1196,132,17,0
1197,133,6,1600
1198,133,3,400
1199,133,16,500
1200,133,15,100
1201,133,17,0
1202,133,1,0
1203,133,19,0
1204,133,4,0
1205,133,21,0
1206,133,7,0
1207,133,18,0
1208,134,6,1000
1209,134,1,1000
1210,134,3,500
1211,134,4,100
1212,134,15,0
1213,134,18,0
1214,134,19,0
1215,134,7,0
1216,134,16,0
1217,134,17,0
1218,134,21,0
1219,135,6,1300
1220,135,3,1000
1221,135,1,200
1222,135,15,100
1223,135,17,0
1224,135,7,0
1225,135,19,0
1226,135,21,0
1227,135,16,0
1228,135,4,0
1229,135,18,0
1230,136,6,1600
1231,136,3,400
1232,136,1,500
1233,136,17,100
1234,136,15,0
1235,136,4,0
1236,136,16,0
1237,136,19,0
1238,136,7,0
1239,136,18,0
1240,137,6,1600
1241,137,3,600
1242,137,1,300
1243,137,19,100
1244,137,7,0
1245,137,16,0
1246,137,15,0
1247,137,17,0
1248,137,4,0
1249,137,18,0
1250,138,6,1600
1251,138,19,400
1252,138,4,500
1253,138,16,100
1254,138,1,0
1255,138,17,0
1256,138,15,0
1257,138,7,0
1258,138,18,0
1259,138,3,0
1260,139,6,1600
1261,139,1,400
1262,139,3,300
1263,139,4,200
1264,139,16,100
1265,139,17,0
1266,139,15,0
1267,139,19,0
1268,139,7,0
1269,139,18,0
1270,140,6,1600
1271,140,1,400
1272,140,3,300
1273,140,17,200
1274,140,4,100
1275,140,15,0
1276,140,7,0
1277,140,19,0
1278,140,18,0
1279,140,16,0
1280,141,6,1400
1281,141,1,600
1282,141,15,400
1283,141,17,200
1284,141,16,0
1285,141,19,0
1286,141,20,0
1287,141,21,0
1288,141,18,0
1289,141,22,0
1290,141,3,0
1291,142,6,1600
1292,142,1,500
1293,142,17,300
1294,142,3,200
1295,142,21,0
1296,142,20,0
1297,142,19,0
1298,142,22,0
1299,142,18,0
1300,142,16,0
1301,142,15,0
1302,143,1,1000
1303,143,6,600
1304,143,15,400
1305,143,16,300
1306,143,17,200
1307,143,22,100
1308,143,20,0
1309,143,18,0
1310,143,3,0
1311,143,19,0
1312,143,21,0
1313,144,3,1000
1314,144,1,900
1315,144,6,400
1316,144,17,300
1317,144,15,0
1318,144,16,0
1319,144,20,0
1320,144,21,0
1321,144,19,0
1322,144,22,0
1323,144,18,0
1324,145,6,1000
1325,145,3,600
1326,145,16,400
1327,145,17,300
1328,145,1,200
1329,145,15,100
1330,145,20,0
1331,145,21,0
1332,145,18,0
1333,145,22,0
1334,145,19,0
1335,146,1,1000
1336,146,6,1000
1337,146,15,300
1338,146,16,200
1339,146,21,100
1340,146,19,0
1341,146,20,0
1342,146,22,0
1343,146,3,0
1344,146,18,0
1345,146,17,0
1346,147,6,1600
1347,147,19,400
1348,147,16,300
1349,147,1,200
1350,147,20,100
1351,147,22,0
1352,147,21,0
1353,147,15,0
1354,147,3,0
1355,147,18,0
1356,147,17,0
1357,148,3,1000
1358,148,6,600
1359,148,1,400
1360,148,15,300
1361,148,20,200
1362,148,19,100
1363,148,17,0
1364,148,18,0
1365,148,21,0
1366,148,16,0
1367,148,22,0
1368,149,6,1200
1369,149,3,900
1370,149,1,500
1371,149,19,0
1372,149,16,0
1373,149,15,0
1374,149,22,0
1375,149,20,0
1376,149,18,0
1377,149,21,0
1378,149,17,0
1379,150,6,1400
1380,150,3,600
1381,150,1,300
1382,150,17,200
1383,150,15,100
1384,150,16,0
1385,150,20,0
1386,150,22,0
1387,150,21,0
1388,150,19,0
1389,150,18,0
1390,151,1,1000
1391,151,6,1000
1392,151,3,300
1393,151,15,300
1394,151,17,0
1395,151,16,0
1396,151,19,0
1397,151,21,0
1398,151,20,0
1399,151,22,0
1400,151,18,0
1401,152,3,1000
1402,152,6,600
1403,152,16,400
1404,152,22,500
1405,152,20,100
1406,152,21,0
1407,152,18,0
1408,152,17,0
1409,152,1,0
1410,152,15,0
1411,152,19,0
1412,153,6,1600
1413,153,1,600
1414,153,3,300
1415,153,15,100
1416,153,16,0
1417,153,17,0
1418,153,19,0
1419,153,21,0
1420,153,22,0
1421,153,20,0
1422,153,18,0
1423,154,6,1200
1424,154,1,900
1425,154,22,400
1426,154,17,100
1427,154,3,0
1428,154,16,0
1429,154,20,0
1430,154,21,0
1431,154,18,0
1432,154,19,0
1433,154,15,0
1434,155,3,1400
1435,155,6,900
1436,155,19,200
1437,155,16,100
1438,155,15,0
1439,155,17,0
1440,155,22,0
1441,155,20,0
1442,155,18,0
1443,155,21,0
1444,155,1,0
1445,156,1,1400
1446,156,6,600
1447,156,17,300
1448,156,19,200
1449,156,15,100
1450,156,22,0
1451,156,20,0
1452,156,16,0
1453,156,21,0
1454,156,3,0
1455,156,18,0
1456,157,6,1200
1457,157,3,700
1458,157,1,700
1459,157,22,0
1460,157,17,0
1461,157,15,0
1462,157,16,0
1463,157,18,0
1464,157,20,0
1465,157,21,0
1466,157,19,0
1467,158,6,1600
1468,158,3,400
1469,158,16,400
1470,158,22,200
1471,158,18,0
1472,158,20,0
1473,158,15,0
1474,158,17,0
1475,158,1,0
1476,158,21,0
1477,158,19,0
1478,159,6,1000
1479,159,22,600
1480,159,17,700
1481,159,3,300
1482,159,21,0
1483,159,16,0
1484,159,18,0
1485,159,1,0
1486,159,19,0
1487,159,20,0
1488,159,15,0
1489,160,6,1300
1490,160,1,1000
1491,160,16,200
1492,160,15,100
1493,160,19,0
1494,160,22,0
1495,160,18,0
1496,160,21,0
1497,160,17,0
1498,160,3,0
1499,160,20,0
1500,161,1,1600
1501,161,6,400
1502,161,3,500
1503,161,17,100
1504,161,22,0
1505,161,15,0
1506,161,20,0
1507,161,19,0
1508,161,18,0
1509,161,16,0
1510,161,21,0
1511,162,1,1600
1512,162,6,600
1513,162,3,300
1514,162,17,100
1515,162,15,0
1516,162,16,0
1517,162,22,0
1518,162,19,0
1519,162,18,0
1520,162,20,0
1521,162,21,0
1522,163,6,1300
1523,163,1,1000
1524,163,22,200
1525,163,21,100
1526,163,15,0
1527,163,18,0
1528,163,20,0
1529,163,3,0
1530,163,19,0
1531,163,16,0
1532,163,17,0
1533,164,1,1100
1534,164,6,600
1535,164,22,400
1536,164,19,300
1537,164,15,200
1538,164,16,0
1539,164,20,0
1540,164,17,0
1541,164,21,0
1542,164,3,0
1543,164,18,0
1544,165,6,1600
1545,165,22,400
1546,165,1,300
1547,165,21,200
1548,165,17,100
1549,165,16,0
1550,165,15,0
1551,165,3,0
1552,165,18,0
1553,165,19,0
1554,165,20,0
1555,166,1,1600
1556,166,6,400
1557,166,16,300
1558,166,3,200
1559,166,17,100
1560,166,22,0
1561,166,15,0
1562,166,20,0
1563,166,19,0
1564,166,18,0
1565,166,21,0
1566,167,1,1600
1567,167,6,400
1568,167,16,300
1569,167,3,200
1570,167,15,100
1571,167,19,0
1572,167,18,0
1573,167,22,0
1574,167,20,0
1575,167,21,0
1576,167,17,0
1577,168,6,1000
1578,168,1,1000
1579,168,3,300
1580,168,15,200
1581,168,21,100
1582,168,16,0
1583,168,17,0
1584,168,19,0
1585,168,18,0
1586,168,20,0
1587,168,22,0
1588,169,1,1400
1589,169,6,900
1590,169,3,200
1591,169,17,100
1592,169,19,0
1593,169,15,0
1594,169,22,0
1595,169,16,0
1596,169,21,0
1597,169,18,0
1598,169,20,0
1599,170,1,1300
1600,170,6,600
1601,170,3,600
1602,170,17,100
1603,170,16,0
1604,170,19,0
1605,170,15,0
1606,170,22,0
1607,170,18,0
1608,170,21,0
1609,170,20,0
1610,171,6,1000
1611,171,1,600
1612,171,3,400
1613,171,21,300
1614,171,22,200
1615,171,16,100
1616,171,15,0
1617,171,18,0
1618,171,20,0
1619,171,19,0
1620,171,17,0
1621,172,6,1600
1622,172,17,400
1623,172,16,400
1624,172,1,200
1625,172,19,0
1626,172,15,0
1627,172,20,0
1628,172,22,0
1629,172,18,0
1630,172,3,0
1631,172,21,0
1632,173,6,1300
1633,173,1,1000
1634,173,3,200
