gameid,leagueid,hometeamid,awayteamid,year,homegoals,awaygoals
419,1,83,76,2016,2,0
420,1,88,85,2016,4,0
421,1,71,74,2016,2,4
422,1,73,80,2016,1,4
423,1,87,86,2016,2,2
424,1,77,83,2016,0,0
425,1,75,84,2016,4,0
426,1,82,76,2016,1,1
427,1,85,77,2016,1,1
428,1,86,78,2016,1,0
429,1,72,73,2016,2,1
430,1,90,71,2016,3,2
431,1,76,81,2016,0,3
432,1,83,79,2016,1,0
433,1,84,87,2016,3,1
434,1,89,75,2016,1,1
435,1,74,88,2016,4,2
436,1,80,82,2016,2,2
437,1,79,89,2016,0,1
438,1,78,85,2016,2,1
439,1,81,84,2016,1,4
440,1,71,86,2016,0,0
441,1,73,76,2016,1,1
442,1,77,80,2016,3,2
443,1,75,72,2016,3,1
444,1,82,74,2016,1,2
445,1,87,90,2016,2,0
446,1,88,83,2016,2,2
447,1,81,89,2016,3,2
448,1,79,90,2016,4,2
449,1,77,72,2016,3,0
450,1,87,80,2016,1,1
451,1,83,71,2016,4,0
452,1,80,75,2016,1,1
453,1,72,79,2016,3,0
454,1,86,82,2016,5,1
455,1,74,78,2016,4,1
456,1,85,81,2016,2,1
457,1,84,88,2016,1,1
458,1,90,77,2016,2,2
459,1,76,87,2016,1,1
460,1,89,73,2016,3,1
461,1,91,75,2016,2,1
462,1,78,76,2016,0,1
463,1,72,82,2016,1,1
464,1,92,84,2016,0,1
465,1,93,85,2016,1,1
466,1,74,90,2016,1,1
467,1,88,77,2016,2,1
468,1,73,89,2016,1,3
469,1,83,87,2016,3,4
470,1,80,81,2016,2,1
471,1,89,74,2016,2,0
472,1,85,88,2016,1,4
473,1,92,87,2016,2,0
474,1,84,91,2016,0,2
475,1,82,78,2016,1,0
476,1,90,80,2016,1,2
477,1,76,72,2016,1,2
478,1,75,83,2016,0,0
479,1,77,93,2016,1,2
480,1,81,73,2016,1,0
481,1,82,87,2016,1,1
482,1,90,83,2016,1,3
483,1,75,84,2016,2,1
484,1,74,77,2016,1,1
485,1,80,92,2016,3,0
486,1,78,73,2016,1,1
487,1,72,85,2016,1,0
488,1,91,89,2016,0,1
489,1,76,93,2016,0,0
490,1,88,81,2016,3,1
491,1,89,88,2016,1,2
492,1,93,78,2016,1,2
493,1,85,82,2016,0,4
494,1,83,74,2016,2,1
495,1,73,76,2016,1,0
496,1,92,91,2016,1,1
497,1,81,90,2016,2,4
498,1,87,75,2016,4,1
499,1,84,80,2016,2,2
500,1,77,72,2016,0,3
501,1,80,87,2016,1,2
502,1,91,83,2016,1,4
503,1,75,92,2016,3,0
504,1,88,73,2016,4,0
505,1,76,81,2016,4,2
506,1,72,93,2016,3,1
507,1,90,89,2016,3,1
508,1,78,85,2016,4,1
509,1,74,84,2016,1,0
510,1,82,77,2016,1,0
511,1,89,75,2016,4,1
512,1,93,82,2016,1,2
513,1,85,76,2016,1,1
514,1,77,78,2016,2,3
515,1,84,88,2016,1,3
516,1,87,91,2016,5,1
517,1,73,72,2016,1,0
518,1,83,80,2016,3,0
519,1,81,74,2016,0,3
520,1,92,90,2016,2,0
521,1,72,78,2016,1,1
522,1,84,87,2016,1,2
523,1,77,76,2016,1,1
524,1,91,80,2016,0,2
525,1,90,73,2016,2,2
526,1,81,93,2016,1,1
527,1,89,85,2016,1,1
528,1,75,74,2016,0,0
529,1,82,88,2016,2,0
530,1,92,83,2016,0,1
531,1,80,75,2016,3,0
532,1,83,84,2016,3,2
533,1,73,91,2016,6,1
534,1,88,72,2016,1,1
535,1,85,77,2016,2,0
536,1,76,82,2016,1,1
537,1,78,81,2016,0,1
538,1,93,90,2016,0,1
539,1,74,92,2016,3,1
540,1,87,89,2016,0,0
541,1,73,82,2016,0,0
542,1,81,77,2016,1,0
543,1,84,90,2016,0,0
544,1,75,78,2016,3,1
545,1,91,85,2016,0,2
546,1,92,72,2016,2,1
547,1,83,93,2016,0,0
548,1,87,76,2016,2,1
549,1,88,74,2016,1,1
550,1,80,89,2016,4,0
551,2,94,95,2015,1,1
552,2,96,97,2015,2,1
553,2,98,99,2015,0,1
554,2,100,101,2015,1,0
555,2,102,103,2015,5,2
556,2,104,105,2015,2,1
557,2,106,107,2015,1,0
558,2,108,109,2015,1,3
559,2,110,111,2015,2,0
560,2,112,113,2015,1,2
561,2,97,104,2015,0,1
562,2,111,108,2015,2,1
563,2,95,98,2015,2,1
564,2,113,110,2015,3,1
565,2,99,100,2015,0,1
566,2,105,102,2015,2,2
567,2,103,106,2015,1,2
568,2,109,96,2015,4,0
569,2,101,94,2015,2,0
570,2,107,112,2015,2,0
571,2,110,101,2015,1,0
572,2,112,95,2015,0,2
573,2,98,109,2015,1,1
574,2,94,113,2015,2,2
575,2,100,103,2015,2,2
576,2,104,107,2015,2,2
577,2,108,105,2015,2,2
578,2,96,99,2015,2,0
579,2,106,111,2015,1,0
580,2,102,97,2015,2,0
581,2,99,108,2015,1,2
582,2,111,100,2015,3,2
583,2,109,106,2015,0,1
584,2,101,98,2015,0,2
585,2,95,104,2015,2,2
586,2,113,102,2015,2,0
587,2,107,94,2015,1,1
588,2,97,112,2015,1,0
589,2,103,110,2015,0,1
590,2,105,96,2015,5,0
591,2,99,111,2015,2,3
592,2,96,101,2015,2,0
593,2,100,104,2015,0,1
594,2,102,95,2015,2,1
595,2,103,105,2015,0,0
596,2,109,113,2015,1,0
597,2,110,97,2015,2,0
598,2,106,94,2015,1,0
599,2,98,112,2015,1,1
600,2,108,107,2015,0,1
601,2,95,103,2015,5,1
602,2,105,98,2015,2,1
603,2,101,111,2015,1,0
604,2,94,96,2015,1,2
605,2,104,109,2015,1,1
606,2,113,100,2015,2,1
607,2,97,99,2015,1,2
608,2,106,110,2015,1,4
609,2,112,108,2015,2,0
610,2,107,102,2015,2,1
611,2,103,113,2015,2,1
612,2,109,94,2015,1,1
613,2,108,104,2015,1,0
614,2,100,95,2015,2,4
615,2,102,106,2015,1,1
616,2,99,101,2015,1,1
617,2,98,97,2015,3,1
618,2,96,112,2015,2,0
619,2,111,105,2015,0,4
620,2,110,107,2015,3,0
621,2,95,108,2015,3,1
